existing_acquisition_label,new_acquisition_label,modality,task,run,ignore
spiralfieldmap,fmap-fieldmap,,,,
3PlaneLocfgre,,,,,
T1w9mmBRAVO,anat-T1w_acq-9mmBRAVO,,,,
GEHOSFOV24,,,,,
GEHOSFOV24_1,,,,,
socialeval_run-1,func-bold_task-socialeval_run-1,,,,
socialeval_run-2,func-bold_task-socialeval_run-2,,,,
stressbuffer_run-1,func-bold_task-stressbuffer_run-1,,,,
stressbuffer_run-2,func-bold_task-stressbuffer_run-2,,,,
faces_run-1,func-bold_task-faces_run-1,,,,
rest_run-1,func-bold_task-rest_run-1,,,,
3Plane Loc fgre,,,,,
GE HOS FOV24,,,,,
GE HOS FOV24_1,,,,,
fMRI social eval run1 HB4,func-bold_task-socialeval_run-1,,,,
fMRI stress buff run1 HB4,func-bold_task-stressbuffer_run-1,,,,
spiral fieldmap,fmap-fieldmap,,,,
fMRI stress buff run2 HB4,func-bold_task-stressbuffer_run-2,,,,
fMRI social eval run2 HB4,func-bold_task-socialeval_run-2,,,,
T1w .9mm BRAVO,anat-T1w_acq-9mmBRAVO,,,,
fMRI faces run1 HB4,func-bold_task-faces_run-1,,,,
fMRI rest run1 HB4,func-bold_task-rest_run-1,,,,
fMRI rest run2 HB4,func-bold_task-rest_run-2,,,,